"product_id","user_id"
40,310
757,310
785,14
723,14
725,14
376,14
368,14
765,14
771,14
813,14
853,14
785,14
853,14
771,14
765,14
376,14
368,14
813,14
723,14
725,14
795,312
632,312
795,312
632,312
448,314
90,314
386,318
825,318
640,321
9,321
96,321
111,321
60,321
355,321
83,321
48,321
23,321
73,321
382,321
100,321
395,323
785,323
272,274
264,274
248,274
117,274
121,274
467,274
801,274
389,274
769,274
771,274
333,274
376,203
368,203
366,203
372,203
374,203
370,203
60,323
76,323
33,323
21,323
163,329
161,329
374,329
21,330
42,330
60,330
194,330
23,330
76,330
463,330
563,75
76,134
707,134
38,134
21,134
3,134
33,134
9,134
80,134
81,134
280,333
395,333
563,333
769,333
771,334
654,14
656,14
767,14
11,14
9,14
14,14
642,337
200,337
44,337
723,337
100,337
9,340
6,340
14,340
723,340
695,341
5,341
699,341
24,341
2,341
111,267
553,267
541,267
797,267
563,294
632,294
567,294
563,294
632,294
567,294
563,294
632,294
567,294
61,299
9,299
76,299
434,299
40,299
773,299
11,344
60,344
194,344
76,344
851,344
113,344
68,346
50,346
80,346
9,346
61,346
200,346
194,346
76,346
44,346
46,346
81,346
68,343
3,343
194,343
52,343
44,343
8,343
80,343
46,343
61,343
200,343
765,350
95,350
660,350
563,350
67,350
61,350
63,350
397,350
68,27
3,27
42,27
61,27
80,27
1,27
200,27
81,27
14,27
723,27
67,27
329,27
188,27
138,27
68,27
3,27
42,27
61,27
80,27
1,27
200,27
81,27
14,27
723,27
67,27
329,27
188,27
138,27
106,250
769,331
807,331
119,331
76,357
628,357
115,357
33,358
21,358
3,358
2,358
11,358
6,358
22,358
1,358
23,358
68,358
76,358
81,358
454,358
20,359
9,359
10,359
182,359
811,360
399,360
803,360
813,360
805,360
380,363
68,364
76,364
632,364
272,364
264,364
145,366
140,366
122,366
407,366
60,366
755,366
751,366
80,366
81,366
99,366
96,366
34,366
274,369
262,369
278,369
8,369
64,369
264,369
650,371
835,371
79,371
138,371
272,371
9,373
14,373
42,373
6,373
366,14
376,14
370,14
654,14
658,14
656,14
628,14
761,14
787,14
366,14
376,14
370,14
654,14
658,14
656,14
628,14
761,14
787,14
366,14
376,14
370,14
654,14
658,14
656,14
628,14
761,14
787,14
376,14
366,14
654,14
658,14
656,14
628,14
761,14
787,14
376,14
366,14
654,14
658,14
656,14
628,14
761,14
787,14
376,14
366,14
654,14
658,14
656,14
628,14
761,14
787,14
376,14
366,14
654,14
658,14
656,14
628,14
761,14
787,14
272,376
11,376
9,376
366,380
380,380
811,380
771,214
765,214
116,383
366,383
650,383
244,383
138,293
141,293
650,293
652,293
21,383
80,383
662,383
244,383
650,383
735,385
70,385
723,385
71,385
116,385
79,387
194,387
44,387
454,387
200,387
393,387
366,387
113,387
551,388
553,388
339,389
252,389
272,387
264,387
565,387
892,387
11,387
113,245
456,396
382,385
815,385
158,258
155,320
159,320
158,320
149,320
153,320
160,320
153,403
725,406
73,406
65,406
723,406
90,406
92,406
717,406
711,406
9,406
21,406
801,406
793,406
33,408
21,408
42,408
50,408
79,408
80,408
773,408
839,408
66,411
60,411
76,411
46,411
100,410
485,412
497,412
491,412
111,416
723,416
74,416
76,417
33,417
98,417
380,417
123,418
80,419
6,419
11,419
111,419
839,408
853,408
855,408
831,408
835,408
795,421
803,421
357,423
66,423
703,423
707,423
723,423
735,423
717,423
366,423
21,427
79,427
76,427
739,427
33,427
380,429
200,393
80,393
630,393
403,431
30,431
723,431
109,431
42,436
61,436
64,436
200,436
44,436
795,409
561,409
81,409
44,440
723,440
74,440
755,440
751,440
662,440
79,442
76,442
